,ORF,NAME,alpha 0,alpha 7,alpha 14,alpha 21,alpha 28,alpha 35,alpha 42,alpha 49,alpha 56,alpha 63,alpha 70,alpha 77,alpha 84,alpha 91,alpha 98,alpha 105,alpha 112,alpha 119,Elu 0,Elu 30,Elu 60,Elu 90,Elu 120,Elu 150,Elu 180,Elu 210,Elu 240,Elu 270,Elu 300,Elu 330,Elu 360,Elu 390,cdc15 10,cdc15 30,cdc15 50,cdc15 70,cdc15 90,cdc15 110,cdc15 130,cdc15 150,cdc15 170,cdc15 190,cdc15 210,cdc15 230,cdc15 250,cdc15 270,cdc15 290,spo 0,spo 2,spo 5,spo 7,spo 9,spo 11,spo5 2,spo5 7,spo5 11,spo- early,spo- mid,heat 0,heat 10,heat 20,heat 40,heat 80,heat 160,dtt 15,dtt 30,dtt 60,dtt 120,cold 0,cold 20,cold 40,cold 160,diau a,diau b,diau c,diau d,diau e,diau f,diau g,km
456,YDR120C,TRM1   TRNA PROCESSING     TRNA METHYLTRANSFERASE,-0.42,0.11,-0.62,0.01,-0.43,0.32,-0.38,0.21,0.28,0.1,0.45,-0.01,,0.01,,0.26,0.1,0.1,-0.69,-0.06,-0.04,,0.23,0.33,0.45,0.34,0.04,0.2,-0.09,-0.38,-0.1,-0.01,0.62,0.4,-0.04,-0.22,-0.15,-0.04,-0.25,-0.54,-0.47,-0.18,-0.03,0.45,-0.36,-0.86,-0.42,0.11,-0.69,-0.51,-0.62,-0.3,0.12,-0.6,-0.64,-0.12,-0.81,-0.51,-0.69,-2.4,-0.81,-0.76,-0.51,0.14,-0.42,-0.84,-1.03,-1.32,-0.58,-0.36,-0.86,0.08,-0.03,-0.12,0.4,-0.62,-0.45,-0.1,-1.0,8
2302,YPL081W,RPS9A  PROTEIN SYNTHESIS     RIBOSOMAL PROTEIN S9A,-0.17,-0.94,-0.09,-0.29,0.38,-0.67,,-0.2,0.2,-0.2,0.61,-0.29,0.01,-0.36,0.43,-0.01,0.3,-0.42,-1.06,-0.81,-0.03,0.3,0.45,-0.32,-0.2,0.2,0.23,-0.1,-0.58,-0.14,-0.03,-0.49,-0.14,-0.23,0.18,0.16,0.24,0.16,0.26,0.14,0.03,-0.09,0.24,-0.01,0.19,0.03,0.24,-0.15,-1.94,-2.32,-2.32,-1.4,-0.69,-0.01,-0.34,1.23,-3.06,-3.47,-0.76,-2.18,-1.6,-1.4,-0.64,-0.89,0.19,-0.23,-0.62,-1.18,-0.23,-0.81,-1.03,-1.51,-0.2,-0.43,-0.22,-0.38,-0.2,-1.51,-2.18,2
999,YGR229C,SMI1   CELL WALL BIOGENESIS     MAY REGULATE GLUCAN AND CHITIN SYNTHESIS,-0.43,-0.36,-0.34,0.07,0.25,0.5,-0.18,,0.01,0.19,-0.03,-0.01,-0.01,-0.29,-0.17,0.08,-0.32,0.01,-1.36,-0.4,0.39,-0.29,-0.03,0.3,0.07,0.37,-0.14,0.42,0.62,0.08,0.16,-0.01,0.28,0.18,-0.14,-0.34,-0.23,-0.32,-0.09,,-0.04,-0.23,-0.12,0.52,-0.36,-0.38,-0.64,-0.15,0.96,1.62,2.51,2.34,2.08,-0.92,0.77,-0.06,-0.42,-0.45,-0.6,-1.22,-0.79,-0.97,-0.62,-0.62,-0.29,-0.43,-0.36,-0.29,-0.49,-0.34,-0.56,0.07,0.24,0.16,,-0.15,-0.12,0.06,-1.03,7
277,YCR037C,PHO87  TRANSPORT        INORGANIC PHOSPHATE PERMEASE,-0.4,0.24,-0.22,-0.36,-0.49,0.04,-0.14,-0.01,0.12,-0.2,-0.12,-0.18,-0.22,-0.09,0.11,0.41,-0.09,-0.04,-0.29,-0.34,-0.29,-0.2,-0.42,-0.23,0.1,0.11,0.06,0.55,0.08,0.33,0.24,0.19,0.03,-0.34,-0.32,0.01,-0.42,,-0.22,-0.6,-0.56,-0.1,0.16,-0.32,-0.51,-0.69,-0.74,-0.03,-0.18,0.08,-0.45,-0.22,-0.1,-0.45,-1.0,-0.51,0.2,0.01,0.16,-0.25,-0.14,0.24,0.38,0.04,-1.09,-0.64,,-0.69,0.08,0.38,0.8,0.52,0.19,,-0.06,-0.42,-0.64,-0.36,-0.01,0
736,YFL001W,DEG1   TRNA PROCESSING     PSEUDOURIDINE SYNTHASE,0.01,-0.92,0.04,-0.67,-0.1,0.01,-0.1,-0.03,0.04,-0.34,0.04,-0.4,-0.32,-0.42,-0.06,-0.29,-0.01,0.01,-0.67,-0.3,-0.3,0.18,0.37,-0.15,-0.18,-0.25,-0.36,-0.51,-0.38,-0.64,-0.79,-0.58,0.75,0.77,0.12,-0.1,-0.17,-0.23,0.26,-0.23,-0.38,-0.15,-0.09,-1.0,-0.04,-0.2,-0.2,0.12,-0.32,-0.18,-0.23,-0.17,-0.18,0.06,-0.03,-0.32,,-0.06,-0.27,-1.25,0.07,-0.03,-0.38,0.14,-0.3,-0.2,-1.0,-3.06,0.3,0.23,-0.17,0.16,0.15,0.15,-0.01,-0.07,-0.12,-0.2,-0.42,9
1757,YMR004W,MVP1   VACUOLAR PROTEIN TARGETI PERIPHERAL GOLGI MEMBRANE PROTEIN,0.06,-0.4,-0.23,-0.45,-0.09,-0.32,0.19,-0.06,-0.04,-0.17,-0.17,-0.2,-0.25,-0.69,-0.09,-0.09,-0.15,-0.25,-0.06,-0.29,-0.45,-0.62,-0.58,-0.56,-0.36,-0.32,-0.15,-0.04,-0.54,0.24,0.36,-0.32,-0.49,-0.51,-0.27,-0.15,-0.38,-0.34,-0.29,-0.38,-0.17,-0.22,-0.36,0.08,0.45,0.19,0.31,-0.2,0.01,,-0.32,-0.43,-0.51,-0.1,-0.43,-0.6,0.55,0.88,0.08,-0.4,-0.18,0.46,-0.25,-0.3,-0.22,-0.18,0.37,-0.27,0.15,0.33,-0.4,-0.56,0.03,-0.12,-0.12,-0.43,0.08,0.79,0.4,9
1467,YKL212W,SAC1   SECRETION        ER/GOLGI ATP/ADP EXCHANGER,0.04,-0.12,-0.23,0.18,-0.17,,-0.22,-0.3,-0.1,-0.43,-0.23,-0.2,-0.17,-0.25,-0.17,-0.3,-0.51,-0.29,-0.04,-0.2,-0.38,0.16,0.16,0.12,0.15,-0.03,0.43,0.21,0.23,0.28,0.06,0.15,-0.3,-0.09,,-0.18,-0.15,-0.1,-0.09,0.1,0.01,-0.15,-0.22,0.51,-0.03,-0.2,-0.09,0.15,-0.17,-0.54,-0.81,-0.64,-0.84,0.15,-0.6,-0.74,-0.71,-0.38,-0.22,-0.49,-0.62,-0.4,-0.32,-0.36,-0.38,-0.27,0.07,0.11,-0.2,-0.15,-0.45,-0.09,0.2,0.04,0.16,-0.09,-0.3,-0.54,-1.06,9
405,YDL245C,HXT15  TRANSPORT        HEXOSE PERMEASE,-0.01,0.2,-0.03,0.14,,-0.09,-0.14,0.18,0.59,-0.17,0.41,0.14,0.01,-0.32,0.31,0.23,-0.1,0.06,-0.1,0.15,,0.03,-0.07,-0.01,0.11,0.16,0.24,-0.51,-0.17,0.12,0.2,,-0.56,-0.34,-0.81,-0.67,-0.62,-0.36,-0.74,0.1,-0.29,-0.94,-1.12,0.32,-1.25,-0.51,-1.22,0.06,-0.14,0.16,0.38,0.53,0.89,-0.23,0.15,0.34,-0.01,0.34,-0.18,0.54,0.31,0.48,0.2,0.12,-0.34,-0.23,-0.34,-0.29,-0.32,0.59,0.81,0.52,-0.04,-0.2,0.3,0.01,-0.47,1.03,1.08,0
2215,YOR265W,RBL2   CYTOSKELETON        BETA-TUBULIN BINDING PROTEIN,0.01,1.86,0.06,-0.1,-0.04,0.12,0.08,0.34,0.3,-0.15,0.2,-0.2,-0.22,-0.49,0.1,0.01,0.1,-0.27,0.28,-0.38,-0.1,0.23,0.06,-0.14,0.19,-0.12,-0.17,-0.54,0.15,-0.1,-0.38,-0.29,1.33,0.62,1.07,1.22,-0.36,-0.18,-0.06,0.28,0.06,-0.32,-0.09,-0.56,-1.79,-0.38,-0.2,-0.1,0.06,0.1,-0.14,-0.22,-0.49,-0.25,-0.4,-0.34,0.4,0.66,-0.03,-0.62,-0.32,-0.45,-0.38,-0.07,,0.52,0.11,-0.15,0.07,0.56,0.28,-0.62,-0.01,-0.15,0.2,-0.12,0.16,0.14,-0.23,9
1536,YLR014C,PPR1   PYRIMIDINE BIOSYNTHESIS  TRANSCRIPTION FACTOR,-0.14,-0.22,-0.27,-0.01,-0.06,-0.23,-0.04,0.1,-0.1,0.04,-0.17,-0.07,-0.29,-0.22,-0.03,-0.2,0.36,-0.18,-0.84,-0.54,-0.29,-0.09,0.18,0.12,-0.29,-0.18,-0.04,-0.01,-0.62,-0.79,-0.58,-0.74,0.19,0.36,0.16,0.04,-0.3,-0.38,-0.49,-0.09,0.87,-0.69,-0.12,-0.15,-0.45,-0.25,-0.62,-0.27,-0.6,-0.09,0.21,0.25,0.12,-0.25,-0.07,-0.01,-0.94,-0.45,-0.43,-0.71,-0.34,0.18,0.08,-0.36,-0.54,-0.74,-0.76,-0.54,-0.18,0.44,-0.58,-0.32,-0.1,-0.29,-0.04,-0.64,-0.81,-0.49,,9
994,YGR217W,CCH1   TRANSPORT        (PUTATIVE) CA(2+) CHANNEL PROTEIN,-0.15,0.38,0.52,0.39,0.24,-0.51,-0.14,-0.15,0.51,-0.03,0.04,-0.42,-0.2,-0.58,0.37,-0.25,-0.36,0.04,,-0.4,-0.45,0.1,-0.23,0.56,-0.29,-0.6,-0.64,-0.81,-0.49,-0.92,-0.81,-0.71,0.01,0.14,0.14,0.01,-0.32,-0.23,0.3,0.2,-0.27,-0.49,-0.49,-0.07,-0.45,-0.38,-2.64,-0.22,-0.51,-0.23,-0.3,-0.22,-0.32,-0.2,-0.01,-0.38,-0.27,-0.18,0.28,-0.29,-0.17,0.42,-0.3,0.34,-0.79,-0.45,-1.43,-0.14,-0.06,0.65,0.64,0.25,0.03,-0.12,0.01,-0.12,-0.01,-0.07,-0.15,0
1741,YML104C,MDM1   CYTOSKELETAL ORGANIZATIO INTERMEDIATE FILAMENT PROTEIN,-0.14,-0.06,-0.07,0.14,0.08,0.29,0.18,,0.21,0.53,0.01,0.14,0.11,0.1,0.18,0.48,0.21,0.11,-0.81,,-0.1,-0.07,-0.25,-0.09,0.18,0.14,-0.12,0.25,0.16,-0.06,-0.38,-0.14,-0.22,-0.69,-0.23,-0.15,-2.18,-0.36,-0.81,-0.69,-0.04,-0.3,-0.1,0.33,-0.71,-0.54,-0.56,-0.09,0.8,0.92,1.03,0.92,0.69,-0.15,-0.17,-0.81,1.66,0.99,-0.34,-0.23,-0.18,-0.27,0.33,-0.47,-0.84,-0.54,-0.51,-0.42,-0.01,0.36,-0.92,-1.0,-0.01,0.11,0.1,0.07,-0.1,-0.34,-0.45,5
1302,YJL214W,HXT8   TRANSPORT        HEXOSE PERMEASE,-0.32,-0.18,-0.18,-0.23,-0.17,,-0.38,-0.34,-0.36,,-0.17,-0.29,0.23,-0.17,-0.43,-0.43,-0.43,-0.4,0.14,0.03,0.12,-0.32,-0.14,-0.4,-0.25,-0.25,-0.51,-0.09,0.19,-0.07,0.16,-0.23,-0.17,1.03,0.39,-0.04,-0.1,0.11,0.58,0.3,0.23,0.03,-0.38,1.24,0.06,-0.01,-0.15,-0.29,-0.01,0.2,0.38,-0.01,0.49,-0.92,-0.01,-0.64,0.06,0.58,0.62,0.34,0.45,-0.09,-0.12,0.77,-1.0,-0.67,-0.94,-0.6,-0.14,0.77,0.64,0.03,0.01,0.14,0.31,0.5,,0.34,0.19,3
1838,YMR227C,TAF67  TRANSCRIPTION       TFIID 67 KD SUBUNIT,0.19,0.28,0.03,0.52,0.12,0.18,0.14,0.5,0.19,-0.04,0.07,0.1,0.06,-0.01,0.08,0.29,0.29,-0.06,0.14,-0.18,0.1,0.03,0.01,-0.07,-0.09,0.03,-0.23,-0.14,-0.12,-0.12,-0.06,-0.15,-0.36,0.7,-0.2,-0.17,-0.43,-0.25,0.52,1.71,0.03,-0.86,-0.56,0.21,-0.92,-0.23,-0.3,-0.1,0.16,0.45,0.21,-0.3,-0.09,-0.58,-0.15,-0.2,0.11,0.3,-0.15,-0.12,-0.22,0.42,-0.04,0.01,-0.3,-0.42,-0.27,-0.32,-0.29,0.25,0.1,0.28,-0.09,-0.34,0.32,-0.45,-0.54,0.31,-0.14,0
1921,YNL096C,RPS7B  PROTEIN SYNTHESIS     RIBOSOMAL PROTEIN S7B,-0.06,-0.69,-0.47,-0.62,-0.14,-0.3,0.11,-0.43,,-0.38,0.06,-0.64,0.08,-0.47,0.33,-0.64,-0.01,-0.54,-1.09,-0.15,-0.14,-0.22,0.07,0.08,-0.04,,-0.2,-0.2,-0.1,-0.22,-0.42,-0.54,0.2,-0.04,0.11,-0.42,-0.54,-0.42,0.53,0.62,-0.4,-1.47,-0.42,,-0.94,0.21,-0.38,-0.32,-1.6,-2.32,-1.29,-1.06,-0.64,0.52,0.37,1.24,-3.06,-3.47,-0.79,-2.0,-2.56,-2.32,-1.22,-1.64,0.03,-0.42,-1.03,-1.43,-0.38,-0.62,-0.86,-1.94,0.12,-0.03,-0.32,-0.49,-0.4,-2.18,-2.84,2
1424,YKL119C,VPH2   VACUOLAR ACIDIFICATION   VACUOLAR H+-ATPASE ASSEMBLY PROTEIN,-0.04,-0.09,0.01,0.2,0.1,0.18,0.16,0.29,-0.17,-0.22,-0.18,-0.15,0.03,-0.22,-0.14,-0.34,-1.6,-0.17,-0.01,-0.23,-0.15,0.26,0.28,-0.12,0.03,-0.29,-0.42,-0.56,0.03,-0.4,-0.2,-0.47,-0.43,-0.09,0.03,-0.36,-0.4,-0.36,-0.23,0.49,-0.12,-0.4,-0.3,0.01,-0.34,-0.25,-0.03,-0.25,0.42,-0.07,0.2,-0.3,-0.34,0.32,-0.32,-0.36,0.32,,0.03,-0.3,-0.42,-0.89,-0.2,0.14,-0.12,0.31,-0.56,-0.34,-0.27,0.15,-0.3,-0.79,0.08,0.18,0.45,0.14,0.19,0.61,0.08,9
1936,YNL135C,FPR1   PROTEIN FOLDING     PEPTIDYL-PROLYL CIS-TRANS ISOMERASE,0.01,-0.04,-0.14,0.06,0.04,-0.22,0.26,-0.3,0.01,-0.23,0.01,-0.38,0.2,-0.38,-0.07,-0.32,-0.25,-0.32,-0.1,-0.12,-0.34,0.08,-0.12,-0.09,-0.27,0.37,0.5,0.49,0.29,0.49,0.46,0.58,-0.25,-0.36,-0.15,0.15,0.32,0.42,0.32,0.5,0.18,0.15,0.42,0.52,0.12,0.11,0.29,-0.06,-0.64,-0.89,-0.79,-0.71,-0.69,0.24,0.19,0.11,-0.94,-1.22,0.11,0.21,-0.54,-0.64,-0.45,-0.64,0.21,-0.74,0.1,0.19,-0.54,0.23,-1.15,-1.06,0.08,-0.04,0.37,0.25,0.3,0.4,-0.69,6
1439,YKL149C,DBR1   MRNA SPLICING       DEBRANCHING ENZYME,-0.14,-0.62,-0.36,-0.34,0.2,-0.14,0.12,-0.45,-0.32,-0.18,-0.47,-0.38,-0.14,-0.43,-0.27,-0.29,-0.07,-0.34,-0.27,-0.47,-0.29,-0.69,-0.54,-0.86,-0.89,-0.58,-0.25,-0.64,-0.69,-0.51,-0.43,-0.49,-0.29,0.3,0.36,-0.01,0.1,0.15,0.2,0.31,0.2,0.11,0.1,0.12,0.07,0.01,0.01,-0.6,0.08,-0.51,-0.38,-0.47,-0.43,0.44,-0.14,-0.45,0.24,-0.29,-0.4,-0.25,-0.43,-0.56,-0.17,-0.23,-0.06,-0.17,-0.2,-0.18,-0.22,0.1,-0.58,-0.51,-0.4,0.07,0.29,-0.14,-0.22,0.44,0.08,9
1662,YLR357W,RSC2   CHROMATIN STRUCTURE    CHROMATIN REMODELING COMPLEX SUBUNIT,-0.15,0.11,-0.23,0.33,0.03,0.4,0.11,0.1,-0.09,0.04,-0.04,0.26,0.1,0.16,0.07,0.19,0.06,0.16,-0.07,-0.1,-0.14,,-0.23,0.15,0.04,-0.04,-0.04,0.04,0.1,-0.09,0.03,-0.1,-0.69,0.07,0.15,-0.17,0.11,-0.1,-0.25,-0.15,0.1,0.1,-0.36,,-0.01,-0.3,-0.38,-0.15,0.03,,-0.54,-0.69,-0.32,-0.15,-0.47,-0.23,-0.38,-0.51,-0.18,-0.34,-0.14,-0.23,-0.09,0.08,-0.36,-0.17,-0.12,-0.27,-0.22,-0.36,-0.09,0.14,0.26,0.1,-0.07,-0.25,-0.23,-0.38,-0.81,9
1665,YLR367W,RPS22B PROTEIN SYNTHESIS     RIBOSOMAL PROTEIN S22B,-0.12,-0.25,-0.1,0.2,-0.12,-0.04,-0.12,0.12,-0.04,-0.34,0.1,-0.36,0.08,-0.23,0.51,-0.15,0.63,-0.25,-0.74,-0.4,0.07,-0.03,0.42,0.49,0.14,0.15,-0.15,-0.03,-0.29,-0.12,-0.56,-0.49,-0.86,0.29,-0.22,-0.42,-0.51,-0.15,-0.49,1.18,1.56,-0.86,0.03,-0.3,-0.64,0.06,-0.79,0.15,-2.06,-2.0,-2.06,-1.22,-0.45,-0.34,-0.45,1.34,-2.94,-2.94,-0.18,-1.12,-2.18,-1.6,-0.67,-1.06,0.5,-0.09,-0.6,-1.43,0.14,-0.51,-0.84,-1.84,0.41,0.36,0.38,0.07,-0.09,-1.32,-2.18,2
514,YDR259C,YAP6   SALT TOLERANCE      BASIC LEU ZIPPER TRANSCRIPTION FACTOR,0.26,0.62,0.3,-0.01,0.21,-0.06,-0.22,0.1,0.49,-0.01,0.41,0.01,0.14,-0.22,0.1,0.29,-0.22,-0.03,-0.64,-0.62,0.11,-0.25,-0.62,-0.51,-0.51,-0.22,-0.4,-0.3,-0.32,-0.2,-0.29,-0.4,-0.04,0.11,-0.56,-0.38,-1.29,-1.29,-0.62,0.69,-0.43,-1.22,-0.49,0.06,-1.56,-1.03,-0.47,-0.07,-0.42,-0.29,-0.81,-1.18,-1.4,-0.34,-0.47,-1.4,-0.86,-0.86,-0.09,0.86,0.57,-0.03,0.19,0.57,-0.74,-0.34,-0.15,-0.58,-0.12,0.41,0.23,-0.04,-0.29,0.04,-0.25,0.23,-0.6,0.49,0.58,0
1049,YHR013C,ARD1   PROTEIN PROCESSING    PROTEIN N-ACETYLTRANSFERASE SUBUNIT,-0.1,-0.3,0.14,-0.36,,-0.23,-0.07,-0.25,-0.22,,-0.29,-0.07,-0.2,-0.49,-0.1,-0.45,-0.32,-0.47,-0.32,-0.42,-0.14,0.11,0.38,0.23,0.16,0.33,0.15,0.14,0.19,-0.1,-0.18,-0.18,-0.1,0.29,0.2,-0.09,-0.04,-0.15,0.16,0.01,,-0.14,-0.04,-0.34,0.42,0.06,0.39,-0.29,0.63,0.29,0.32,-0.42,-0.45,0.42,-0.6,-1.22,0.43,0.28,-0.29,-0.92,-0.58,-0.67,-0.62,-0.56,0.37,-0.01,-0.25,-0.22,-0.49,,-0.09,-0.49,-0.1,-0.15,0.18,-0.18,0.04,0.03,,9
1265,YJL129C,TRK1   TRANSPORT        POTASSIUM PERMEASE,0.04,-0.62,-0.18,-0.1,0.08,-0.45,0.21,-0.14,-0.07,,-0.2,-0.27,-0.01,-0.42,-0.06,-0.22,-0.12,-0.2,-0.69,-0.04,-0.27,-0.06,-0.22,-0.27,0.15,-0.18,0.15,-0.01,-0.17,0.16,0.07,-0.23,0.15,-0.1,-0.06,-0.17,-0.69,0.16,-0.17,-0.22,0.03,0.08,-0.15,-0.42,0.03,-0.2,-0.45,-0.4,-0.36,-0.45,-0.81,-0.58,-0.62,-0.29,-0.42,-0.47,-0.4,-0.47,-0.51,-0.62,-0.43,0.16,-0.04,-0.43,-0.49,-0.51,-0.14,-0.62,-0.01,-0.4,0.18,0.15,-0.01,-0.23,,-0.25,-0.15,-0.2,-0.36,9
715,YER142C,MAG1   DNA REPAIR       3-METHYLADENINE DNA GLYCOSYLASE,0.37,0.4,0.38,0.08,0.11,0.38,-0.17,0.3,0.16,-0.12,0.28,0.14,0.01,-0.01,-0.2,0.04,-0.12,0.03,0.83,0.33,-0.06,-0.47,-0.27,-0.47,-0.36,-0.27,-0.54,-0.58,-0.14,-0.38,-0.25,-0.25,-0.45,-0.4,-0.47,-0.56,-0.64,-0.3,-0.27,-0.43,-0.23,-0.04,-0.04,0.59,-0.27,0.41,0.79,-0.06,0.31,-0.14,-0.6,-0.69,-0.47,0.52,-0.49,-0.67,0.42,0.83,-0.06,0.38,0.68,0.07,-0.2,2.03,-0.56,0.25,0.08,-0.38,-0.4,0.73,0.43,0.58,-0.32,-0.09,0.32,-0.01,-0.54,1.14,1.01,0
1735,YML095C,RAD10  DNA REPAIR       SSDNA ENDONUCLEASE,-0.23,-0.69,-0.34,-0.2,-0.04,-0.14,-0.09,-0.17,-0.36,-0.43,-0.4,-0.32,-0.06,-0.49,-0.2,-0.34,0.12,-0.29,-0.1,-0.38,-0.6,-0.67,-0.27,-0.2,-0.34,-0.62,-0.23,-0.15,-0.27,-0.32,-0.29,-0.4,0.24,-0.01,0.07,-0.12,-0.17,0.03,-0.14,0.03,0.01,-0.1,-0.14,-0.17,-0.17,-0.15,-0.17,-0.43,-0.36,-0.29,-0.18,-0.58,-0.92,-0.64,-0.47,-0.64,-0.3,-0.12,-0.14,-0.51,-0.45,0.03,0.11,-0.09,-0.1,-0.74,-0.4,-0.67,0.07,0.2,-1.0,-0.86,0.06,0.08,-0.1,-0.4,-0.2,,-0.15,9
661,YER023W,PRO3   PROLINE BIOSYNTHESIS     DELTA 1-PYRROLINE-5-CARBOXYLATE REDUCTASE,0.01,-0.1,0.1,0.19,0.25,0.23,-0.34,0.49,0.45,0.01,0.43,0.11,0.01,0.04,0.28,0.44,0.06,-0.15,0.14,-0.43,-0.03,0.2,0.15,-0.04,0.04,0.38,0.18,0.14,0.07,0.21,-0.29,0.44,-0.47,-0.51,-0.38,0.68,0.1,0.01,-0.04,0.12,-0.03,0.04,0.08,-0.18,,-0.07,0.03,0.3,0.82,0.94,0.53,-0.2,-0.69,,-0.2,-1.69,1.1,1.24,0.03,0.06,-0.3,-0.2,-0.01,-0.12,0.65,-0.89,0.34,0.25,0.3,0.16,-0.45,-0.32,0.36,0.19,0.53,0.11,0.16,0.31,-0.62,5
1731,YML075C,HMG1   STEROL METABOLISM     3-HYDROXY-3-METHYLGLUTARYL-COENZYME A REDUCTASE,0.19,-0.2,-0.07,-0.22,-0.1,-0.32,0.18,0.01,0.1,-0.06,-0.12,0.11,0.1,-0.09,-0.18,-0.22,-0.14,-0.1,-0.56,0.25,-0.15,0.19,-0.32,-0.09,-0.1,-0.17,0.01,0.1,-0.17,0.03,0.03,-0.07,-0.32,-0.6,-0.6,,0.04,0.03,0.14,-0.1,-0.1,-0.07,-0.32,-0.3,-0.42,-0.51,-0.54,-0.36,0.4,0.15,-0.27,-0.15,-0.18,0.06,-0.64,-0.79,0.08,-0.23,-0.12,-0.49,-0.17,-0.18,0.12,0.16,-0.94,-1.25,-0.56,-0.54,0.21,-0.51,0.3,0.69,0.06,0.03,0.11,-0.22,-0.23,-0.62,-0.69,9
478,YDR170C,SEC7   SECRETION        VESICLE COAT COMPONENT,-0.42,-0.34,-0.18,,,0.11,0.03,-0.15,,-0.14,0.72,-0.12,0.01,-0.34,-0.04,0.2,-0.27,-0.03,-0.06,0.12,-0.47,0.16,-0.15,-0.58,-0.01,0.39,-0.25,0.06,-0.47,0.04,-0.79,0.1,-0.3,-0.34,-0.22,0.24,0.14,,-0.14,-0.42,0.03,-0.1,-0.15,-0.97,-0.3,-0.54,-0.43,-0.01,-0.62,-0.86,-1.84,-1.84,-1.32,0.18,-0.71,-0.76,-0.22,-0.84,-0.15,-0.04,0.06,0.25,-0.23,0.78,-0.94,-0.54,-1.15,-0.81,0.4,0.38,0.94,0.39,-0.04,0.42,-0.03,-0.04,-0.38,-0.6,-0.71,1
2418,YPR102C,RPL11A PROTEIN SYNTHESIS     RIBOSOMAL PROTEIN L11A,0.14,-0.18,0.03,0.08,0.06,0.15,0.12,0.21,0.41,-0.01,0.41,-0.12,0.11,-0.27,0.53,0.12,0.64,0.08,-0.4,0.04,0.19,0.75,0.68,0.46,0.4,0.34,0.18,0.24,0.01,0.14,-0.34,-0.27,-0.14,0.26,0.58,0.41,0.54,0.58,0.54,0.5,0.52,0.19,0.38,0.29,0.46,0.3,0.66,-0.17,-1.51,-1.94,-2.25,-1.56,-0.81,0.15,-0.47,0.97,-2.32,-2.47,-0.42,-1.94,-2.56,-1.94,-1.22,-0.89,0.34,0.48,-0.81,-0.97,0.08,-0.2,-0.14,-1.36,0.26,0.01,0.2,0.03,0.04,-1.32,-2.18,2
939,YGR094W,VAS1   PROTEIN SYNTHESIS     VALYL-TRNA SYNTHETASE,-0.1,-0.62,-0.25,-0.54,-0.17,-0.4,0.07,-0.25,-0.03,-0.04,-0.04,-0.15,0.01,-0.18,0.2,0.07,-0.14,-0.25,-1.09,-0.62,-0.54,-0.29,0.03,-0.07,-0.07,-0.22,0.06,0.08,-0.32,0.06,-0.38,-0.42,-0.32,-0.09,0.1,0.04,-0.22,-0.22,-0.18,-0.51,-0.42,-0.54,-0.42,0.19,-0.47,-0.6,-0.62,-0.2,-0.36,-0.58,-0.58,-0.36,-0.17,-0.04,-0.23,0.1,-1.03,-0.97,-0.01,-1.09,-1.32,-0.92,-0.45,-0.07,-1.64,-0.47,-0.84,-0.86,0.23,-0.49,-0.04,-0.76,0.1,0.24,-0.01,-0.74,-0.47,-2.06,-0.3,8
1578,YLR134W,PDC5   GLYCOLYSIS       PYRUVATE DECARBOXYLASE,0.44,-0.04,0.72,0.28,0.76,0.28,0.64,0.65,0.5,0.57,0.5,0.34,0.46,0.65,0.68,0.46,0.7,0.43,0.06,0.01,0.46,0.28,0.48,0.16,0.11,0.33,0.06,0.06,-0.45,0.23,0.23,0.4,-0.38,0.14,-0.67,-0.06,-0.58,-0.17,-0.25,0.8,0.44,-0.76,0.26,-0.01,-1.0,0.56,-1.03,-0.29,-1.79,-2.84,-3.32,-2.94,-1.69,1.26,-1.03,0.82,-2.32,-3.84,0.74,0.55,0.08,-0.58,0.01,0.61,-0.54,-1.79,-0.56,-0.17,1.18,0.34,0.6,-0.03,0.29,0.5,0.3,-0.15,-0.43,-1.18,-1.74,1
2125,YOR045W,TOM6   MITOCHONDRIAL PROTEIN TA OUTER MEMBRANE TRANSLOCASE COMPONENT,-0.04,-0.45,-0.09,-0.03,0.25,0.57,0.46,,0.06,-0.3,-0.01,-0.47,-0.03,-0.32,0.16,-0.36,0.01,-0.38,-0.38,-0.79,-0.34,-0.67,-0.32,-0.01,0.03,0.16,0.1,0.07,0.01,0.19,0.03,-0.1,,-0.1,-0.17,0.14,0.4,0.49,0.5,0.84,0.33,0.34,0.49,0.15,0.37,0.16,0.6,-0.45,-0.49,-0.27,0.3,0.45,0.12,-0.45,0.73,0.48,-1.03,-1.36,-0.34,-0.76,-0.47,-0.36,-0.42,-0.58,,-0.36,-0.23,-0.67,-0.32,-0.47,-0.58,-1.03,-0.17,-0.03,0.71,0.2,0.34,0.49,0.01,6
